name,rt,error,correct_key,trial,pair1,pair2,trial_types
1,1.651323,0,2,76,4,10,1
1,2.245259,0,2,129,3,4,5
1,1.589527,0,3,83,4,12,4
1,0.65146,0,2,9,1,11,2
1,2.065465,0,2,40,2,10,2
1,1.180201,1,2,124,3,4,5
1,1.437887,0,1,26,2,9,8
1,3.737429,0,1,115,2,1,5
1,0.798974,0,2,70,3,12,1
1,1.190286,0,2,118,2,1,6
1,1.401841,0,1,29,2,10,8
1,1.129516,0,2,58,3,12,8
1,1.509362,1,1,43,2,11,8
1,1.273106,0,1,122,3,4,6
1,1.221298,0,1,2,1,9,8
1,1.46101,0,3,11,1,12,3
1,1.362873,0,1,51,3,9,2
1,1.13669,0,3,56,3,11,4
1,1.404094,0,3,132,3,4,7
1,1.819291,1,2,61,3,9,8
1,1.520923,0,3,42,2,10,4
1,0.837484,0,2,142,4,3,5
1,1.436151,0,3,71,3,12,3
1,1.721798,0,3,96,4,12,4
1,1.188457,0,3,92,4,11,3
1,1.557096,0,3,23,1,12,4
1,1.443099,0,2,130,3,4,5
1,1.405042,0,2,133,4,3,5
1,0.997947,0,2,109,2,1,6
1,1.220604,0,3,128,3,4,7
1,1.066278,1,1,139,4,3,6
1,1.279813,1,2,100,1,2,6
1,2.159763,0,2,141,4,3,5
1,1.056807,0,3,104,1,2,7
1,1.135901,1,2,121,3,4,5
1,1.052349,0,3,44,2,11,3
1,23.646304,0,2,4,1,10,2
1,1.001067,0,3,108,1,2,7
1,0.856407,0,3,24,1,12,3
1,1.805254,0,1,27,2,9,1
1,2.366362,0,2,117,2,1,6
1,1.449742,0,1,17,1,10,1
1,1.453568,0,1,125,3,4,6
1,1.238496,0,3,102,1,2,7
1,1.149741,0,3,59,3,12,4
1,1.53498,0,3,36,2,12,4
1,1.557666,0,2,93,4,11,1
1,1.320949,0,1,19,1,11,8
1,1.284426,0,3,47,2,12,4
1,1.490156,0,1,87,4,9,2
1,1.557671,0,3,30,2,10,3
1,1.060185,0,1,15,1,9,8
1,1.177626,0,2,82,4,12,8
1,1.145368,0,1,39,2,9,8
1,1.924207,0,3,35,2,12,3
1,1.574127,0,1,14,1,9,1
1,1.016133,0,2,13,1,9,2
1,1.059362,0,1,31,2,11,1
1,0.896409,0,3,32,2,11,4
1,1.885857,0,1,62,3,9,2
1,1.41787,0,2,46,2,12,2
1,1.24014,0,2,25,2,9,2
1,0.935091,0,2,16,1,10,2
1,2.120162,0,3,78,4,10,3
1,1.036454,0,2,45,2,11,2
1,0.960967,0,1,75,4,9,2
1,1.069143,0,3,68,3,11,3
1,1.881789,0,2,28,2,10,2
1,1.631647,0,3,131,3,4,7
1,2.106678,0,3,18,1,10,4
1,1.398475,1,1,134,4,3,6
1,1.26308,0,3,140,4,3,7
1,1.501273,0,3,144,4,3,7
1,1.728416,0,3,54,3,10,3
1,1.088774,0,1,111,2,1,5
1,1.252238,0,3,107,1,2,7
1,1.235262,0,3,6,1,10,3
1,1.362943,0,1,123,3,4,6
1,1.519988,0,2,97,1,2,6
1,0.884118,0,2,69,3,11,1
1,0.879932,0,2,52,3,10,1
1,1.262228,1,1,55,3,11,2
1,0.907443,0,3,90,4,10,4
1,1.191387,0,1,113,2,1,5
1,1.311581,0,3,119,2,1,7
1,1.089751,0,3,72,3,12,4
1,0.974781,0,3,8,1,11,4
1,1.151211,0,2,34,2,12,2
1,1.948198,1,1,110,2,1,5
1,0.815434,0,2,37,2,9,2
1,1.161645,0,3,80,4,11,4
1,1.178717,0,3,138,4,3,7
1,1.074545,1,2,10,1,12,2
1,1.340248,0,1,101,1,2,5
1,1.127304,0,3,120,2,1,7
1,0.915116,0,2,81,4,11,8
1,1.517738,0,2,22,1,12,2
1,1.447915,1,3,126,3,4,7
1,1.966902,0,1,65,3,10,2
1,1.046304,0,3,12,1,12,4
1,1.82889,0,3,66,3,10,4
1,1.160178,0,3,84,4,12,3
1,1.401877,0,1,135,4,3,6
1,1.807309,0,2,85,4,9,8
1,1.576063,0,1,89,4,10,2
1,1.449073,0,1,5,1,10,8
1,1.408394,0,2,88,4,10,8
1,1.211836,0,3,114,2,1,7
1,1.298862,0,3,143,4,3,7
1,1.358309,0,3,48,2,12,3
1,1.175962,0,3,60,3,12,3
1,0.946478,0,1,38,2,9,1
1,1.309327,0,2,73,4,9,1
1,0.93164,0,1,41,2,10,1
1,1.099874,0,2,21,1,11,2
1,1.238268,0,2,1,1,9,2
1,0.880825,0,1,77,4,10,2
1,0.915129,0,1,98,1,2,5
1,1.260459,0,2,106,1,2,6
1,2.049151,1,3,95,4,12,3
1,1.261143,0,2,57,3,11,8
1,1.170087,0,3,116,2,1,7
1,1.082407,0,1,103,1,2,5
1,1.6533,1,1,50,3,9,2
1,1.126704,0,2,94,4,12,1
1,1.061738,0,2,112,2,1,6
1,1.097678,0,1,3,1,9,1
1,1.11967,0,1,53,3,10,2
1,1.30637,0,1,63,3,9,2
1,1.236899,1,2,64,3,10,8
1,1.146328,0,2,33,2,11,2
1,0.772675,0,1,86,4,9,2
1,1.530655,0,2,105,1,2,6
1,0.940334,1,1,127,3,4,6
1,0.869528,0,1,7,1,11,1
1,1.044217,0,2,49,3,9,1
1,1.359774,1,1,79,4,11,2
1,0.929948,0,1,74,4,9,2
1,1.15626,0,3,20,1,11,3
1,0.913302,0,2,136,4,3,5
1,1.440706,0,1,91,4,11,2
1,2.364545,1,1,137,4,3,6
1,0.992373,0,1,67,3,11,2
1,1.104402,0,1,99,1,2,5
1,1.754743,0,2,21,1,11,2
1,0.786072,0,1,87,4,9,2
1,1.088231,0,2,124,3,4,5
1,0.98183,0,3,140,4,3,7
1,0.882981,0,3,44,2,11,3
1,1.15179,0,2,81,4,11,8
1,0.945431,0,1,39,2,9,8
1,1.018979,0,3,132,3,4,7
1,1.488612,0,1,17,1,10,1
1,0.999326,0,1,53,3,10,2
1,1.384883,0,2,94,4,12,1
1,1.080721,0,3,6,1,10,3
1,1.273006,0,2,105,1,2,6
1,1.273708,0,3,56,3,11,4
1,2.348337,1,1,67,3,11,2
1,1.368292,0,2,1,1,9,2
1,0.801493,0,3,32,2,11,4
1,1.384268,0,1,74,4,9,2
1,1.111867,0,2,64,3,10,8
1,0.987451,0,2,28,2,10,2
1,1.148314,0,3,120,2,1,7
1,1.412096,0,1,41,2,10,1
1,1.066475,0,3,78,4,10,3
1,1.567487,1,1,79,4,11,2
1,1.201405,0,1,134,4,3,6
1,1.079068,1,2,85,4,9,8
1,1.403508,0,1,115,2,1,5
1,1.055011,0,1,2,1,9,8
