name,rt,error,correct_key,trial,pair1,pair2,trial_types
1,3.16052,1,1,76,4,10,2
1,1.138024,1,2,18,1,10,2
1,1.357115,0,2,78,4,10,8
1,0.803233,0,2,117,2,1,6
1,1.682645,1,2,140,4,3,5
1,0.837569,0,2,61,3,9,8
1,1.113218,0,1,143,4,3,6
1,0.903728,0,2,69,3,11,8
1,1.358753,1,3,74,4,9,3
1,1.36263,0,3,15,1,9,4
1,1.27084,0,3,24,1,12,3
1,1.341078,0,1,11,1,12,1
1,1.367502,1,2,114,2,1,6
1,1.33065,1,3,72,3,12,3
1,0.773065,0,2,97,1,2,6
1,1.356846,0,3,43,2,11,3
1,2.61277,0,3,98,1,2,7
1,1.182785,0,3,62,3,9,4
1,1.87892,0,3,14,1,9,4
1,1.010816,0,2,121,3,4,5
1,1.073973,0,1,70,3,12,2
1,1.173834,0,1,77,4,10,2
1,3.077304,0,3,99,1,2,7
1,1.376649,0,1,47,2,12,8
1,1.702231,0,2,104,1,2,6
1,1.82403,1,1,125,3,4,6
1,1.970323,0,1,94,4,12,2
1,1.409282,0,2,44,2,11,2
1,1.377589,0,3,108,1,2,7
1,1.38489,0,3,127,3,4,7
1,2.625556,0,2,133,4,3,5
1,1.37407,0,1,100,1,2,5
1,1.422856,0,3,79,4,11,3
1,1.391585,0,2,116,2,1,6
1,1.311302,0,2,1,1,9,2
1,1.315137,0,3,63,3,9,3
1,2.949274,0,1,130,3,4,6
1,1.269183,1,2,42,2,10,2
1,2.312792,0,3,103,1,2,7
1,1.258342,1,2,57,3,11,1
1,1.015212,1,2,8,1,11,2
1,0.938627,1,2,30,2,10,2
1,1.176621,0,1,119,2,1,5
1,1.425602,0,2,109,2,1,6
1,1.454411,0,3,111,2,1,7
1,1.034044,0,3,36,2,12,4
1,1.455955,0,1,4,1,10,1
1,1.162006,0,1,59,3,12,2
1,1.045552,0,3,120,2,1,7
1,1.041563,1,1,58,3,12,2
1,0.829993,0,2,102,1,2,6
1,1.10796,1,1,46,2,12,1
1,0.900288,0,1,113,2,1,5
1,1.137191,0,2,25,2,9,2
1,1.166925,1,2,56,3,11,8
1,1.611974,0,3,75,4,9,4
1,1.076751,0,2,20,1,11,2
1,1.035878,0,3,115,2,1,7
1,1.13334,1,2,138,4,3,5
1,1.208008,1,2,92,4,11,1
1,1.039838,0,1,136,4,3,6
1,1.017446,0,2,141,4,3,5
1,1.403248,1,1,131,3,4,6
1,1.183829,0,1,52,3,10,2
1,1.22643,0,3,91,4,11,4
1,1.452219,0,3,19,1,11,3
1,1.62782,0,3,55,3,11,3
1,1.252901,0,3,110,2,1,7
1,1.181356,0,2,128,3,4,5
1,2.66023,1,1,71,3,12,2
1,0.788761,0,2,80,4,11,8
1,1.387004,1,3,87,4,9,3
1,0.817245,0,2,85,4,9,8
1,1.139664,0,3,139,4,3,7
1,0.93484,1,3,122,3,4,7
1,1.38583,0,3,38,2,9,4
1,1.272698,1,1,5,1,10,8
1,0.973479,0,3,60,3,12,4
1,1.258995,0,1,89,4,10,2
1,1.644664,0,1,101,1,2,5
1,1.374926,0,3,7,1,11,4
1,1.296904,0,3,27,2,9,3
1,1.401162,0,3,84,4,12,4
1,0.966399,0,1,142,4,3,6
1,1.144808,0,3,26,2,9,3
1,0.98787,0,2,105,1,2,6
1,0.557015,0,2,129,3,4,5
1,1.066305,1,1,35,2,12,1
1,1.611197,1,1,10,1,12,8
1,1.97528,1,3,132,3,4,7
1,0.685123,0,1,34,2,12,8
1,0.825801,1,1,28,2,10,1
1,1.198358,1,1,107,1,2,5
