name,rt,error,correct_key,trial,pair1,pair2,trial_types
1,2.056522,1,3,31,2,11,3
1,3.059444,0,2,12,1,12,2
1,1.958117,0,3,139,4,3,7
1,2.382799,0,1,59,3,12,2
1,1.132924,0,1,113,2,1,5
1,1.208321,0,2,51,3,9,8
1,1.655402,0,3,52,3,10,4
1,1.581869,0,2,68,3,11,8
1,0.821419,0,2,9,1,11,2
1,0.821829,0,1,5,1,10,1
1,0.989545,0,2,60,3,12,8
1,0.79837,0,2,140,4,3,5
1,1.567844,0,3,40,2,10,4
1,2.105518,1,3,90,4,10,4
1,1.554968,0,1,137,4,3,6
1,2.124591,0,3,122,3,4,7
1,1.173871,0,3,124,3,4,7
1,1.416037,0,2,33,2,11,2
1,3.079792,0,3,55,3,11,3
1,1.121218,0,1,125,3,4,6
1,0.723499,0,1,82,4,12,2
1,0.70438,0,2,128,3,4,5
1,1.117976,1,1,25,2,9,8
1,1.001357,0,1,29,2,10,1
1,1.475153,0,3,64,3,10,3
1,1.175103,0,1,130,3,4,6
1,0.920652,0,1,22,1,12,8
1,1.30081,0,2,96,4,12,1
1,1.185788,0,2,75,4,9,8
1,1.4183,0,1,131,3,4,6
1,1.563066,0,3,103,1,2,7
1,0.987429,0,2,132,3,4,5
1,1.525331,0,3,16,1,10,4
1,1.160843,0,3,126,3,4,7
1,1.177692,0,2,87,4,9,1
1,0.635194,0,2,48,2,12,2
1,0.668404,0,1,94,4,12,2
1,1.371137,0,3,54,3,10,3
1,1.291947,0,1,70,3,12,2
1,0.687061,0,1,106,1,2,5
1,1.36497,0,3,138,4,3,7
1,0.966121,0,2,63,3,9,1
1,1.455931,0,1,23,1,12,1
1,1.062656,0,1,121,3,4,6
1,1.637421,1,2,104,1,2,6
1,0.827292,0,1,101,1,2,5
1,1.34025,0,3,50,3,9,4
1,1.198718,1,2,32,2,11,2
1,1.070215,1,1,133,4,3,6
1,1.156206,0,3,74,4,9,4
1,0.925856,0,1,47,2,12,1
1,1.579014,0,3,6,1,10,4
1,3.274591,0,3,86,4,9,3
1,2.389151,0,3,136,4,3,7
1,1.418694,0,2,21,1,11,2
1,0.714203,0,2,81,4,11,1
1,2.59063,1,1,118,2,1,5
1,1.101125,0,1,10,1,12,1
1,1.042282,0,2,20,1,11,2
1,0.632549,0,2,56,3,11,1
1,3.065522,1,3,78,4,10,3
1,1.131401,1,1,119,2,1,5
1,1.118566,1,1,11,1,12,8
1,1.106588,1,1,107,1,2,5
1,1.199504,0,2,117,2,1,6
1,0.880938,0,1,77,4,10,2
1,0.965863,1,1,71,3,12,2
1,0.952349,0,1,53,3,10,2
1,0.731774,0,1,41,2,10,8
1,1.367502,1,1,13,1,9,1
1,0.840638,0,1,58,3,12,2
1,1.040003,0,2,144,4,3,5
1,1.45506,0,3,79,4,11,3
1,1.149097,0,1,95,4,12,2
1,0.999143,0,3,14,1,9,3
1,0.904377,0,2,57,3,11,1
1,1.188401,1,2,99,1,2,6
1,1.301648,0,2,92,4,11,8
1,1.137672,0,1,61,3,9,2
1,1.245036,0,3,112,2,1,7
1,1.210663,0,1,89,4,10,2
1,1.555288,0,3,19,1,11,4
1,0.963498,0,2,105,1,2,6
1,1.119289,0,1,143,4,3,6
1,1.226477,0,3,43,2,11,4
1,0.793191,0,2,44,2,11,2
1,1.090429,0,1,49,3,9,2
1,1.047763,0,2,120,2,1,6
1,0.606944,0,2,111,2,1,6
1,0.720861,0,2,69,3,11,8
1,0.781457,0,1,1,1,9,8
1,0.926051,0,3,66,3,10,4
1,1.24372,0,1,83,4,12,2
1,0.929771,0,2,116,2,1,6
1,1.693242,0,3,110,2,1,7
1,1.352977,0,3,4,1,10,3
1,1.03494,0,1,65,3,10,2
1,0.554698,0,2,80,4,11,1
1,1.334079,0,3,18,1,10,3
1,1.617408,1,3,42,2,10,3
1,1.080015,0,2,108,1,2,6
1,1.197362,1,1,85,4,9,2
1,1.599318,1,1,17,1,10,8
1,1.150995,0,2,135,4,3,5
1,2.208718,1,1,109,2,1,5
1,1.071712,0,1,97,1,2,5
1,0.837309,1,2,129,3,4,5
1,1.939493,0,3,115,2,1,7
1,0.851923,0,1,46,2,12,8
1,1.363604,0,3,102,1,2,7
1,1.676809,0,2,123,3,4,5
1,1.393568,0,3,98,1,2,7
1,1.13778,0,3,127,3,4,7
1,1.411445,0,3,30,2,10,4
1,1.122606,0,3,134,4,3,7
1,1.040153,0,3,67,3,11,4
1,1.422202,0,2,8,1,11,2
1,1.318171,0,2,36,2,12,2
1,0.738085,0,2,15,1,9,2
1,0.98993,0,3,2,1,9,4
1,1.247715,0,3,100,1,2,7
1,0.852453,0,2,3,1,9,2
1,1.116517,0,3,38,2,9,3
1,1.472283,0,3,7,1,11,3
1,1.117507,0,2,72,3,12,1
1,0.592377,0,2,39,2,9,2
1,1.402323,0,3,76,4,10,4
1,1.155258,0,3,88,4,10,3
1,0.956298,0,3,114,2,1,7
1,1.343071,0,1,34,2,12,1
1,1.249309,0,3,26,2,9,4
1,0.838611,0,3,62,3,9,3
1,1.23052,0,2,24,1,12,2
1,2.093828,0,2,45,2,11,2
1,0.657805,0,2,93,4,11,8
1,0.865038,0,1,142,4,3,6
1,0.935425,0,2,84,4,12,8
1,1.170022,0,3,91,4,11,4
1,1.379793,1,1,37,2,9,1
1,2.045323,0,1,35,2,12,8
1,0.681312,0,1,73,4,9,2
1,1.271924,1,3,28,2,10,3
1,1.157079,0,2,27,2,9,2
1,1.086892,0,2,141,4,3,5
1,1.022029,0,3,74,4,9,4
1,1.580989,1,3,31,2,11,3
1,0.837795,0,2,99,1,2,6
1,0.700995,0,2,96,4,12,1
1,0.538228,0,2,135,4,3,5
1,0.518446,0,2,75,4,9,8
1,1.091655,1,3,91,4,11,4
1,0.593669,0,2,132,3,4,5
1,0.898147,0,3,50,3,9,4
1,0.991869,0,2,117,2,1,6
1,0.512591,0,2,9,1,11,2
1,1.093607,0,3,67,3,11,4
1,0.969708,1,1,59,3,12,2
1,1.044322,0,1,41,2,10,8
1,1.042598,0,2,87,4,9,1
1,0.561497,0,2,72,3,12,1
1,1.084954,0,3,134,4,3,7
1,0.914077,0,1,34,2,12,1
1,1.734337,0,3,110,2,1,7
1,0.672604,0,2,123,3,4,5
1,0.590708,0,2,108,1,2,6
1,1.152595,0,2,93,4,11,8
1,0.803901,0,2,116,2,1,6
1,0.916151,0,2,3,1,9,2
1,1.343724,0,3,138,4,3,7
1,0.682396,0,2,51,3,9,8
1,0.824565,0,2,57,3,11,1
1,1.280392,0,1,107,1,2,5
1,0.899876,0,1,125,3,4,6
1,0.64132,0,2,21,1,11,2
1,0.697399,0,2,39,2,9,2
1,0.81499,0,1,118,2,1,5
1,1.33537,0,3,78,4,10,3
1,1.745125,0,1,83,4,12,2
1,0.740562,0,2,48,2,12,2
1,0.928172,0,1,97,1,2,5
1,0.884126,0,1,106,1,2,5
1,1.137465,0,3,19,1,11,4
1,1.717133,1,1,25,2,9,8
1,0.743264,1,2,129,3,4,5
1,1.099498,0,3,30,2,10,4
1,1.367259,0,1,49,3,9,2
1,0.817066,0,1,94,4,12,2
1,1.288786,0,1,71,3,12,2
1,0.73453,0,1,121,3,4,6
