name,rt,pair,foil,trial,error,first_press
1,2.78187,2,2,4,1,1
1,1.58562,1,1,5,1,2
1,1.534808,2,2,8,0,2
1,2.127029,1,2,2,1,1
1,1.788971,1,1,1,0,1
1,2.882688,2,1,7,1,2
1,1.409459,1,2,6,0,2
1,1.470006,2,1,3,0,1
2,6.501133,1,2,2,0,1
2,3.461316,1,2,6,1,2
2,3.152354,2,2,4,1,1
2,3.287041,1,1,1,0,1
2,4.720496,1,1,5,0,2
2,1.472066,2,2,8,1,2
2,1.978257,2,1,7,1,2
2,2.248153,2,1,3,0,1
3,1.520243,1,1,1,1,1
3,1.775118,2,2,4,1,1
3,1.797073,1,2,2,1,1
3,1.425883,1,2,6,1,2
3,1.725933,2,2,8,0,2
3,1.374101,2,1,7,0,2
3,1.283856,2,1,3,0,1
3,1.357195,1,1,5,1,2
4,4.619142,1,2,2,0,1
4,6.482181,1,1,1,1,1
4,4.809617,1,2,6,0,2
4,2.431356,2,1,3,0,1
4,4.425898,2,2,8,1,2
4,3.760483,1,1,5,1,2
4,7.498153,2,1,7,1,2
4,5.062785,2,2,4,0,1
5,3.596408,2,2,4,0,1
5,4.096845,2,1,7,0,2
5,2.226607,2,1,3,0,1
5,4.766401,1,1,5,0,2
5,2.036081,2,2,8,1,2
5,1.063907,1,2,6,0,2
5,2.361832,1,2,2,0,1
5,6.216671,1,1,1,0,1
6,3.968276,2,1,7,1,2
6,2.497868,1,1,1,1,1
6,2.289321,1,1,5,1,2
6,1.537263,1,2,6,0,2
6,1.730294,1,2,2,1,1
6,1.330039,2,2,4,0,1
6,1.297024,2,2,8,0,2
6,1.082214,2,1,3,0,1
7,3.655095,2,1,3,0,1
7,1.961435,2,2,8,1,2
7,1.488668,1,1,5,0,2
7,1.96176,2,1,7,0,2
7,1.48857,1,2,6,0,2
7,1.513701,1,2,2,0,1
7,1.337672,2,2,4,1,1
7,1.729814,1,1,1,0,1
8,2.812725,1,1,5,1,2
8,2.423348,2,2,8,1,2
8,2.984533,2,1,7,1,2
8,2.659303,1,2,6,1,2
8,1.30805,1,2,2,1,1
8,1.636872,1,1,1,0,1
8,1.99215,2,1,3,1,1
8,1.867929,2,2,4,1,1
9,6.305345,1,2,2,0,1
9,2.513733,2,1,3,0,1
9,2.537255,2,1,7,0,2
9,2.521127,2,2,8,0,2
9,1.913116,1,1,5,0,2
9,1.770265,1,1,1,0,1
9,2.688119,2,2,4,1,1
9,4.393149,1,2,6,0,2
10,2.369134,1,1,5,0,2
10,3.402029,1,1,1,0,1
10,2.315413,1,2,6,0,2
10,1.698925,2,2,4,0,1
10,1.812419,2,2,8,0,2
10,1.680892,2,1,3,0,1
10,1.625993,1,2,2,0,1
10,2.173988,2,1,7,0,2
11,4.529991,1,2,6,0,2
11,3.729311,1,2,2,1,1
11,3.097916,2,2,8,0,2
11,4.017461,1,1,1,0,1
11,2.790457,2,1,7,0,2
11,5.115128,2,1,3,0,1
11,5.71538,1,1,5,1,2
11,4.882707,2,2,4,1,1
12,1.266849,2,2,8,0,2
12,4.229104,1,2,2,0,1
12,3.103878,2,1,3,0,1
12,2.272924,2,1,7,1,2
12,1.954117,1,2,6,0,2
12,1.697261,2,2,4,0,1
12,1.418174,1,1,1,0,1
12,1.54209,1,1,5,0,2
13,4.527656,2,2,8,1,2
13,2.255598,2,1,7,1,2
13,1.618092,1,1,1,1,1
13,1.604823,1,1,5,1,2
13,1.95423,1,2,2,0,1
13,1.992708,2,2,4,1,1
13,1.613923,1,2,6,0,2
13,2.626456,2,1,3,0,1
14,5.077674,1,2,6,0,2
14,4.136317,1,1,5,1,2
14,4.139437,2,1,3,1,1
14,4.452912,1,2,2,1,1
14,2.482738,1,1,1,0,1
14,2.816908,2,2,4,1,1
14,2.459816,2,1,7,0,2
14,3.509294,2,2,8,1,2
15,1.827237,2,2,4,1,1
15,3.0548,2,1,3,1,1
15,2.025611,2,1,7,1,2
15,2.494477,1,1,1,0,1
15,3.47931,1,1,5,0,2
15,2.424383,1,2,6,1,2
15,2.044925,1,2,2,0,1
15,1.592721,2,2,8,1,2
16,2.096293,1,1,5,0,2
16,3.85751,2,2,4,1,1
16,1.292154,1,2,2,1,1
16,1.469419,2,1,3,1,1
16,1.311693,2,2,8,1,2
16,1.280103,2,1,7,1,2
16,1.457764,1,2,6,0,2
16,1.908632,1,1,1,0,1
17,3.811743,1,2,6,1,2
17,4.703407,1,1,5,0,2
17,1.848027,2,1,3,1,1
17,3.707008,2,1,7,1,2
17,1.86732,1,1,1,0,1
17,2.54922,2,2,8,1,2
17,1.659123,1,2,2,1,1
17,1.806113,2,2,4,1,1
18,6.112043,1,2,2,0,1
18,2.39814,2,2,8,0,2
18,1.515127,2,2,4,1,1
18,1.387043,2,1,3,0,1
18,1.38496,1,1,5,0,2
18,3.117834,1,2,6,1,2
18,1.826819,2,1,7,0,2
18,2.949886,1,1,1,0,1
19,5.901789,1,1,1,1,1
19,4.869084,2,2,8,1,2
19,2.455942,1,1,5,0,2
19,1.882491,1,2,6,1,2
19,1.668042,2,1,7,0,2
19,1.381539,1,2,2,0,1
19,1.323824,2,2,4,0,1
19,1.715283,2,1,3,1,1
20,4.341492,1,2,6,1,2
20,1.278183,2,2,8,1,2
20,1.446497,1,2,2,1,1
20,1.405009,1,1,5,0,2
20,1.777317,2,1,3,0,1
20,1.357615,1,1,1,1,1
20,1.021969,2,2,4,1,1
20,5.672865,2,1,7,1,2
21,4.275217,2,1,3,1,1
21,2.34111,1,2,2,0,1
21,2.084654,1,1,1,1,1
21,1.98192,2,2,4,0,1
21,3.083195,2,1,7,1,2
21,3.931812,1,1,5,0,2
21,3.371517,1,2,6,0,2
21,2.873463,2,2,8,1,2
22,8.614624,1,1,5,1,2
22,4.532401,2,1,7,0,2
22,1.470327,2,2,4,1,1
22,1.697201,2,2,8,0,2
22,2.771235,1,2,2,0,1
22,2.894317,1,2,6,0,2
22,5.20456,2,1,3,0,1
22,2.346013,1,1,1,0,1
23,2.854426,1,2,2,1,1
23,1.730101,1,1,5,0,2
23,1.585716,2,1,7,1,2
23,1.726867,2,1,3,0,1
23,2.294975,2,2,8,1,2
