name,rt,correct_key,error,trial,pair1,pair2,trial_types,validity
1,0.548988,1,1,37,4,9,0,2
1,1.045777,1,1,134,4,3,3,2
1,0.771233,2,1,120,2,1,3,2
1,0.603578,1,1,139,4,3,3,2
1,2.338821,2,0,39,4,9,3,2
1,1.036677,1,0,24,2,12,0,2
1,0.666951,2,0,5,1,10,0,2
1,0.574149,1,0,132,3,4,1,1
1,0.671731,1,0,44,4,11,1,1
1,0.95503,2,0,85,4,9,1,1
1,0.765128,2,0,131,3,4,1,1
1,0.589275,2,0,62,2,9,1,1
1,0.405283,1,0,11,1,12,0,2
1,0.588802,2,1,63,2,9,1,1
1,0.996976,2,1,136,4,3,2,2
1,0.612773,2,0,13,2,9,2,2
1,0.731053,1,0,16,2,10,0,2
1,0.908607,1,0,3,1,9,0,2
1,0.728049,2,1,112,2,1,1,1
1,1.162923,1,0,127,3,4,2,2
1,0.67564,2,0,61,2,9,1,1
1,0.815703,2,0,130,3,4,3,2
1,0.646787,1,0,103,1,2,2,2
1,0.924331,1,0,80,3,11,1,1
1,0.718675,1,0,75,3,9,1,1
1,0.633023,1,0,9,1,11,0,2
1,0.783395,1,0,55,1,11,1,1
1,0.998365,2,1,34,3,12,2,2
1,0.678394,1,0,91,4,11,1,1
1,0.739453,1,0,101,1,2,3,2
1,0.70042,2,0,100,1,2,2,2
1,0.679976,2,0,10,1,12,2,2
1,0.771845,2,0,25,3,9,1,1
1,1.172935,1,0,49,1,9,1,1
1,0.821172,2,0,40,4,10,1,1
1,0.787974,1,0,47,4,12,1,1
1,0.780117,1,0,129,3,4,2,2
1,0.668327,1,0,6,1,10,1,1
1,1.088996,2,0,33,3,11,2,2
1,0.747621,1,0,128,3,4,2,2
1,1.052998,2,0,78,3,10,1,1
1,0.579076,2,0,104,1,2,2,2
1,0.579777,2,0,64,2,10,1,1
1,0.475785,1,1,96,4,12,1,1
1,0.551966,1,0,15,2,9,1,1
1,0.561262,2,0,123,3,4,2,2
1,0.705659,1,0,46,4,12,2,2
1,0.541336,1,0,69,2,11,1,1
1,0.694049,2,0,93,4,11,1,1
1,0.938565,1,0,20,2,11,3,2
1,0.580302,2,0,115,2,1,3,2
1,0.620696,1,0,90,4,10,1,1
1,0.515103,1,0,97,1,2,3,2
1,0.525763,2,1,116,2,1,3,2
1,0.58441,1,0,52,1,10,1,1
1,0.752628,2,0,60,1,12,1,1
1,0.625212,2,0,102,1,2,3,2
1,0.608232,1,0,32,3,11,3,2
1,0.920108,1,0,79,3,11,1,1
1,0.841994,1,0,133,4,3,2,2
1,0.639985,2,0,118,2,1,2,2
1,0.582304,2,0,83,3,12,1,1
