name,rt,correct_key,error,trial,pair1,pair2,trial_types,validity
50,1.075675,2,0,40,4,10,1,1
50,0.547454,1,0,7,1,11,1,1
50,0.639102,1,0,91,4,11,0,2
50,0.831776,2,0,13,2,9,1,1
50,0.665792,2,0,9,1,11,1,1
50,0.641625,2,0,28,3,10,1,1
50,0.530781,1,0,115,2,1,2,2
50,0.69619,1,0,80,3,11,2,2
50,0.694833,2,0,102,1,2,3,2
50,0.548855,1,0,50,1,9,1,1
50,0.466024,1,0,1,1,9,1,1
50,0.442492,2,0,44,4,11,1,1
50,0.803852,2,0,17,2,10,1,1
50,0.846276,2,0,96,4,12,0,2
50,0.630517,2,0,86,4,9,2,2
50,0.591183,2,0,30,3,10,1,1
50,0.555011,2,0,8,1,11,1,1
50,0.344009,2,1,63,2,9,1,1
50,0.613526,1,0,120,2,1,1,1
50,0.598815,2,0,117,2,1,1,1
50,2.200855,2,0,51,1,9,2,2
50,0.691951,2,0,53,1,10,3,2
50,0.66747,2,0,52,1,10,0,2
50,0.619556,1,0,26,3,9,1,1
50,0.541489,1,0,32,3,11,1,1
50,0.626103,2,0,142,4,3,2,2
50,0.628812,2,0,87,4,9,3,2
50,0.558038,1,0,71,2,12,2,2
50,0.658891,2,0,129,3,4,2,2
50,0.682622,1,0,112,2,1,3,2
50,0.626745,1,0,69,2,11,1,1
50,1.476547,2,0,39,4,9,1,1
50,0.876082,1,0,68,2,11,0,2
50,0.636689,1,0,109,2,1,2,2
50,0.470196,1,0,14,2,9,1,1
50,0.613928,1,0,78,3,10,3,2
50,0.799727,2,0,105,1,2,2,2
50,0.666108,1,0,55,1,11,0,2
50,0.665723,1,0,31,3,11,1,1
50,0.545323,1,0,141,4,3,3,2
50,0.535625,1,0,88,4,10,3,2
50,0.820689,2,0,140,4,3,3,2
50,0.725929,1,0,130,3,4,3,2
50,0.652883,1,0,58,1,12,0,2
50,0.517249,1,0,121,3,4,2,2
50,0.61107,2,0,67,2,11,3,2
50,0.652429,1,0,4,1,10,1,1
50,0.845598,2,0,23,2,12,1,1
50,0.645924,2,0,64,2,10,3,2
50,0.575183,2,0,110,2,1,3,2
50,0.954344,1,0,35,3,12,1,1
50,0.615772,2,0,82,3,12,0,2
50,0.633498,2,0,22,2,12,1,1
