name,rt,pair,foil,trial,error,first_press
1,2.413557,1,5,13,1,2
1,2.891957,1,10,9,0,1
1,1.654685,4,6,20,0,2
1,1.929423,1,5,1,0,1
1,1.537012,2,7,15,1,2
1,1.552091,4,8,16,0,2
1,1.42008,1,10,21,0,2
1,1.444403,2,7,3,1,1
1,2.007118,4,8,4,0,1
1,1.899604,3,6,2,0,1
1,1.696365,3,6,14,1,2
1,1.825004,3,9,22,1,2
1,1.461269,4,6,8,0,1
1,2.227584,2,5,7,1,1
1,1.575836,3,9,10,1,1
1,1.469976,2,5,19,0,2
2,3.682233,1,10,9,0,1
2,3.192794,2,5,19,1,2
2,2.153387,4,8,4,0,1
2,1.316727,4,6,20,0,2
2,1.652639,2,7,3,0,1
2,2.462858,2,5,7,0,1
2,2.688465,3,6,14,0,2
2,1.505804,3,9,10,0,1
2,1.338316,4,6,8,0,1
2,1.584974,4,8,16,0,2
2,1.87404,3,9,22,1,2
2,1.770936,1,5,13,0,2
2,2.512755,3,6,2,0,1
2,1.352429,2,7,15,0,2
2,2.056932,1,10,21,1,2
2,3.162455,1,5,1,0,1
3,1.099398,4,6,8,1,1
3,3.588271,2,7,15,0,2
3,1.721732,1,10,9,0,1
3,1.69704,3,9,10,1,1
3,1.634564,1,10,21,0,2
3,1.406018,3,6,14,0,2
3,1.330058,2,7,3,0,1
3,1.346509,3,6,2,1,1
3,1.09751,1,5,13,0,2
3,1.034632,3,9,22,0,2
3,1.08599,4,8,4,1,1
3,1.254525,4,8,16,1,2
3,2.664669,2,5,7,0,1
3,1.130777,4,6,20,0,2
3,1.170105,1,5,1,0,1
3,1.057056,2,5,19,0,2
4,2.052085,3,6,2,0,1
4,1.39089,1,10,21,0,2
4,1.323023,2,7,3,0,1
4,1.714166,4,8,4,0,1
4,1.306375,1,10,9,0,1
4,1.354715,1,5,13,0,2
4,1.377036,3,9,10,0,1
4,1.294416,4,6,20,0,2
4,1.395098,1,5,1,0,1
4,1.232807,3,6,14,0,2
4,1.251499,4,8,16,0,2
4,1.278563,2,5,7,0,1
4,1.301564,4,6,8,0,1
4,1.384779,2,5,19,0,2
4,1.254205,3,9,22,0,2
4,1.249688,2,7,15,0,2
5,7.314435,1,5,13,0,2
5,3.001798,3,6,2,0,1
5,2.031244,4,6,8,1,1
5,1.522658,4,8,16,1,2
5,1.514178,3,9,22,0,2
5,1.706064,1,5,1,0,1
5,1.747044,3,9,10,0,1
5,3.025295,2,5,7,1,1
5,1.893827,2,7,15,1,2
5,1.634998,1,10,21,0,2
5,1.678077,2,7,3,1,1
5,1.358466,2,5,19,1,2
5,1.572422,4,8,4,0,1
5,2.187231,1,10,9,0,1
5,1.60086,3,6,14,0,2
5,1.548492,4,6,20,1,2
6,1.776974,4,8,16,0,2
6,1.638303,2,5,19,0,2
6,1.361593,1,10,21,1,2
6,1.120214,4,6,20,0,2
6,1.415635,4,6,8,0,1
6,1.598509,3,6,2,1,1
6,1.488431,3,9,10,1,1
6,1.185968,2,5,7,0,1
6,1.979153,3,9,22,1,2
6,1.953455,3,6,14,0,2
6,1.447978,1,5,13,0,2
6,1.10641,2,7,15,1,2
6,1.168182,2,7,3,0,1
6,1.390845,1,10,9,0,1
6,1.467021,1,5,1,0,1
6,1.088551,4,8,4,0,1
7,3.514975,2,5,7,1,1
7,1.874462,3,5,1,0,1
7,1.607108,3,10,21,0,2
7,1.643747,1,6,14,1,2
7,1.532449,4,6,8,1,1
7,3.699833,1,9,10,1,1
7,1.587944,1,9,22,1,2
7,1.737268,4,6,20,0,2
7,1.689039,2,7,3,0,1
7,1.306228,3,10,9,0,1
7,1.678856,4,8,4,1,1
7,1.605719,3,5,13,0,2
7,1.258574,1,6,2,1,1
7,1.412817,2,7,15,0,2
7,1.345851,4,8,16,1,2
7,1.401216,2,5,19,0,2
8,1.094347,3,6,2,1,1
8,1.663547,1,10,21,0,2
8,1.320903,2,7,3,0,1
8,1.620258,2,5,7,1,1
8,1.639342,3,6,14,0,2
8,1.509839,1,10,9,0,1
8,1.574811,4,8,16,1,2
8,1.596161,1,5,1,1,1
8,1.425244,4,6,8,1,1
8,1.381313,3,9,22,1,2
8,1.490372,2,7,15,0,2
8,1.402928,2,5,19,1,2
8,1.343269,4,6,20,1,2
8,1.421906,3,9,10,1,1
8,1.492407,1,5,13,1,2
8,1.508972,4,8,4,1,1
9,4.955872,1,10,21,1,2
9,1.691969,2,5,19,0,2
9,2.364657,4,8,4,0,1
9,1.576518,3,9,10,0,1
9,2.862197,2,5,7,0,1
9,2.092165,1,5,1,1,1
9,2.293575,1,5,13,1,2
9,2.098348,1,10,9,0,1
9,1.557727,3,6,2,0,1
9,1.788059,4,6,20,0,2
9,1.417677,3,6,14,0,2
9,2.733225,3,9,22,0,2
9,1.396474,4,8,16,0,2
9,1.466138,4,6,8,0,1
9,1.91602,2,7,3,0,1
9,1.247278,2,7,15,0,2
10,2.314911,4,8,4,0,1
10,1.434484,2,5,7,1,1
10,1.156419,4,6,8,0,1
10,1.290445,1,10,21,1,2
10,1.25194,3,9,10,0,1
10,1.322018,2,7,3,0,1
10,1.289676,4,8,16,0,2
10,1.29094,4,6,20,0,2
10,1.276346,1,5,1,0,1
10,1.502776,2,7,15,0,2
10,1.246438,1,5,13,0,2
10,1.313951,3,6,2,0,1
10,1.221311,1,10,9,1,1
10,1.240486,3,6,14,0,2
10,1.068254,3,9,22,0,2
10,1.254263,2,5,19,1,2
11,1.06356,3,5,19,0,2
11,4.4041,1,10,21,0,2
11,1.801274,4,8,16,0,2
11,1.539773,3,5,7,0,1
11,2.770678,3,7,15,0,2
11,1.879975,4,6,8,1,1
11,1.495366,1,10,9,1,1
11,1.503806,2,6,14,0,2
11,1.623402,2,9,10,1,1
11,1.82791,3,7,3,0,1
11,1.03498,1,5,13,1,2
11,1.545615,1,5,1,0,1
11,1.305955,2,9,22,1,2
11,1.039935,4,8,4,0,1
11,3.080286,4,6,20,0,2
11,1.369399,2,6,2,0,1
12,5.684062,4,8,4,1,1
12,5.500506,2,5,7,0,1
12,1.439779,4,6,8,0,1
12,1.7705,1,10,21,0,2
12,1.480201,3,9,10,0,1
12,2.893583,2,7,3,0,1
12,1.830241,4,8,16,0,2
12,1.346441,4,6,20,0,2
12,1.473707,1,5,1,0,1
12,1.491183,2,7,15,1,2
12,2.270656,1,5,13,0,2
12,2.537295,3,6,2,1,1
12,2.151265,1,10,9,0,1
12,1.766574,3,6,14,0,2
12,1.308802,3,9,22,0,2
12,1.756886,2,5,19,0,2
13,3.227023,4,8,4,0,1
13,1.417539,2,7,3,1,1
13,1.373532,1,10,21,0,2
13,1.410242,3,9,22,0,2
13,1.550556,3,6,14,1,2
13,1.413416,2,5,19,1,2
13,3.568779,1,5,1,1,1
13,1.342517,2,5,7,1,1
13,1.365736,2,7,15,1,2
13,1.684176,1,10,9,1,1
13,1.373094,4,8,16,0,2
13,1.299278,4,6,20,0,2
13,2.027857,3,6,2,1,1
13,1.302662,3,9,10,1,1
13,1.303258,4,6,8,0,1
13,1.272908,1,5,13,0,2
14,2.474654,4,6,8,0,1
14,1.45251,1,5,1,1,1
14,1.81504,3,9,10,0,1
14,1.499976,1,10,9,1,1
14,2.7716,3,6,2,1,1
14,1.115981,2,5,19,0,2
14,1.763429,1,5,13,0,2
14,1.314656,4,8,4,0,1
14,1.035277,2,7,3,1,1
14,1.784517,4,6,20,0,2
14,1.310335,2,5,7,0,1
14,1.325585,1,10,21,1,2
14,1.365885,3,9,22,1,2
14,1.291358,2,7,15,1,2
14,1.296868,4,8,16,0,2
14,1.370684,3,6,14,0,2
15,3.165656,1,5,13,0,2
15,4.221618,2,5,19,0,2
15,2.100836,3,6,2,0,1
15,1.845477,3,6,14,0,2
15,2.432568,4,8,4,0,1
15,2.075857,1,5,1,0,1
15,2.070308,4,8,16,0,2
15,1.759963,3,9,22,0,2
15,2.086745,1,10,9,0,1
15,1.576329,2,7,3,0,1
15,1.549869,3,9,10,0,1
15,2.614598,2,5,7,0,1
15,1.65865,1,10,21,0,2
15,2.133201,2,7,15,0,2
15,2.908557,4,6,20,0,2
15,1.817861,4,6,8,0,1
16,3.495322,1,5,13,0,2
16,1.552267,1,10,21,1,2
16,1.718441,4,8,16,0,2
16,1.506891,4,6,8,0,1
16,2.339977,4,6,20,0,2
16,1.443301,1,5,1,0,1
16,1.598135,3,9,22,0,2
16,1.338011,2,7,3,0,1
16,2.160928,3,6,2,0,1
16,1.207317,2,5,19,0,2
16,1.355914,1,10,9,1,1
16,1.417866,3,6,14,1,2
16,1.340287,4,8,4,1,1
16,1.747187,2,7,15,1,2
16,1.402054,2,5,7,0,1
16,1.726911,3,9,10,1,1
17,2.008828,4,8,16,1,2
17,2.428782,1,5,13,0,2
17,3.207057,1,5,1,1,1
